logicDesign,dataStructure,C++,Cloud,CareerSkills,logicdesignLab,C++Lab,DSLab,name,rollno
42,56,56,56,42,56,42,56,Isha Rawat,20500
87,80,72,80,87,80,87,72,Aarav Jain,20501
62,62,66,62,62,62,62,66,Kabir Wadhwa,20502
67,61,61,61,67,61,67,61,Ayaan Malhotra,20503
65,66,68,66,65,66,65,68,Vikrant Mehta,20504
49,63,58,63,49,63,49,58,Saisha Mehra,20505
56,62,63,62,56,62,56,63,Saumya Baluni,20506
55,56,54,56,55,56,55,54,Pankaj Uniyal,20507
85,89,88,89,85,89,85,88,Siddhartha Shinde,20508
71,87,87,87,71,87,71,87,Yash Pandey,20509
36,58,52,58,36,58,36,52,Ankita Baluni,20510
79,83,88,83,79,83,79,88,Aruhi Rautela,20511
81,70,74,70,81,70,81,74,Ankush Rawat,20512
48,54,53,54,48,54,48,53,Sarim Saifi,20513
46,60,58,60,46,60,46,58,Mayank Jain,20514
69,70,81,70,69,70,69,81,Mudit Pathak,20515
73,85,92,85,73,85,73,92,Tara Sutaria,20516
57,73,71,73,57,73,57,71,Ranbir Kapoor,20517
80,75,67,75,80,75,80,67,Allia Bhatt,20518
59,74,73,74,59,74,59,73,Aalia Verma,20519
58,73,72,73,58,73,58,72,Aryan Chauhan,20520
60,59,59,59,60,59,60,59,Kush Johar,20521
79,63,61,63,79,63,79,61,Love Singh,20522
54,59,50,59,54,59,54,50,Krinka Johar,20523
62,58,60,58,62,58,62,60,Jasmine Bhasin,20524
55,69,67,69,55,69,55,67,Ayush Pandey,20525
71,75,69,75,71,75,71,69,Kanupriya  Modi,20526
78,80,74,80,78,80,78,74,Priyal Mehta,20527
65,55,48,55,65,55,65,48,Khushi Verma,20528
35,44,40,44,35,44,35,40,Tanya Joshi,20529
45,51,52,51,45,51,45,52,Riya Kapoor,20530
63,56,51,56,63,56,63,51,Tammanna Bhatia,20531
66,65,61,65,66,65,66,61,Mukul Kala,20532
84,84,83,84,84,84,84,83,Manpreet Kaur,20533
76,63,62,63,76,63,76,62,Ayushi Negi,20534
74,70,64,70,74,70,74,64,Ayushi Chandana,20535
78,54,50,54,78,54,78,50,Ayushi Rawat,20536
59,53,54,53,59,53,59,54,Ayushi Rautela,20537
