syssoftware,OS,DBMS,DAA,ML,DBMSLab,DAALab,OSLab,name,rollno
42,56,56,56,42,56,42,56,Isha Rawat,21000
87,80,72,80,87,80,87,72,Aarav Jain,21001
62,62,66,62,62,62,62,66,Kabir Wadhwa,21002
67,61,61,61,67,61,67,61,Ayaan Malhotra,21003
65,66,68,66,65,66,65,68,Vikrant Mehta,21004
49,63,58,63,49,63,49,58,Saisha Mehra,21005
56,62,63,62,56,62,56,63,Saumya Baluni,21006
55,56,54,56,55,56,55,54,Pankaj Uniyal,21007
85,89,88,89,85,89,85,88,Siddhartha Shinde,21008
71,87,87,87,71,87,71,87,Yash Pandey,21009
36,58,52,58,36,58,36,52,Ankita Baluni,21010
79,83,88,83,79,83,79,88,Aruhi Rautela,21011
81,70,74,70,81,70,81,74,Ankush Rawat,21012
48,54,53,54,48,54,48,53,Sarim Saifi,21013
46,60,58,60,46,60,46,58,Mayank Jain,21014
69,70,81,70,69,70,69,81,Mudit Pathak,21015
73,85,92,85,73,85,73,92,Tara Sutaria,21016
57,73,71,73,57,73,57,71,Ranbir Kapoor,21017
80,75,67,75,80,75,80,67,Allia Bhatt,21018
59,74,73,74,59,74,59,73,Aalia Verma,21019
58,73,72,73,58,73,58,72,Aryan Chauhan,21020
60,59,59,59,60,59,60,59,Kush Johar,21021
79,63,61,63,79,63,79,61,Love Singh,21022
54,59,50,59,54,59,54,50,Krinka Johar,21023
62,58,60,58,62,58,62,60,Jasmine Bhasin,21024
55,69,67,69,55,69,55,67,Ayush Pandey,21025
71,75,69,75,71,75,71,69,Kanupriya  Modi,21026
78,80,74,80,78,80,78,74,Priyal Mehta,21027
65,55,48,55,65,55,65,48,Khushi Verma,21028
35,44,40,44,35,44,35,40,Tanya Joshi,21029
45,51,52,51,45,51,45,52,Riya Kapoor,21030
63,56,51,56,63,56,63,51,Tammanna Bhatia,21031
66,65,61,65,66,65,66,61,Mukul Kala,21032
84,84,83,84,84,84,84,83,Manpreet Kaur,21033
76,63,62,63,76,63,76,62,Ayushi Negi,21034
74,70,64,70,74,70,74,64,Ayushi Chandana,21035
78,54,50,54,78,54,78,50,Ayushi Rawat,21036
59,53,54,53,59,53,59,54,Ayushi Rautela,21037
67,74,78,74,67,74,67,78,Ayushi Verma,21038
85,100,100,100,85,100,85,100,Ayush Pandey,21039
64,59,60,59,64,59,64,60,Ayush Verma,21040
68,80,81,80,68,80,68,81,Akshansh Arora,21041
68,76,76,76,68,76,68,76,Saksham Bisht,21042
53,67,64,67,53,67,53,64,Mahima Rawat,21043
91,78,84,78,91,78,91,84,Isha Rawat,21044
57,50,49,50,57,50,57,49,Aarav Jain,21045
86,71,76,71,86,71,86,76,Kabir Wadhwa,21046
59,59,55,59,59,59,59,55,Ayaan Malhotra,21047
61,69,69,69,61,69,61,69,Vikrant Mehta,21048
62,59,55,59,62,59,62,55,Saisha Mehra,21049
70,57,60,57,70,57,70,60,Saumya Baluni,21050
51,39,42,39,51,39,51,42,Pankaj Uniyal,21051
63,60,62,60,63,60,63,62,Siddhartha Shinde,21052
55,54,54,54,55,54,55,54,Priyal Mehta,21053
49,53,60,53,49,53,49,60,Khushi Verma,21054
56,61,56,61,56,61,56,56,Tanya Joshi,21055
55,68,64,68,55,68,55,64,Riya Kapoor,21056
84,90,89,90,84,90,84,89,Tammanna Bhatia,21057
91,81,78,81,91,81,91,78,Mukul Kala,21058
91,92,94,92,91,92,91,94,Manpreet Kaur,21059
85,88,88,88,85,88,85,88,Ayushi Negi,21060
68,82,80,82,68,82,68,80,Ayushi Chandana,21061
71,71,68,71,71,71,71,68,Vandita Pujari,21062
58,61,65,61,58,61,58,65,Ayaan Kakkar,21063
91,88,84,88,91,88,91,84,Kashish Kakar,21064
70,80,88,80,70,80,70,88,Jadu Yadav,21065
83,92,94,92,83,92,83,94,Narendra Modi,21066
89,90,96,90,89,90,89,96,Amit Shah,21067
62,72,72,72,62,72,62,72,Rajnath,21068
54,59,51,59,54,59,54,51,Kangana Ranaut,21069
57,73,71,73,57,73,57,71,Justin Kaur,21070
60,69,64,69,60,69,60,64,selena Gomez,21071
67,67,67,67,67,67,67,67,Salmaan Khan,21072
78,66,65,66,78,66,78,65,Deepika Kakkar,21073
73,80,79,80,73,80,73,79,Kabir Singh,21074
79,87,82,87,79,87,79,82,Preeti Chawla,21075
78,86,84,86,78,86,78,84,Prakash Jha,21076
76,80,84,80,76,80,76,84,Vandita Pandit,21077
56,59,51,59,56,59,56,51,Tanya Joshi,21078
71,61,59,61,71,61,71,59,Riya Kapoor,21079
63,68,64,68,63,68,63,64,Tammanna Bhatia,21080
49,61,55,61,49,61,49,55,Mukul Kala,21081
76,73,79,73,76,73,76,79,Manpreet Kaur,21082
80,86,82,86,80,86,80,82,Ayushi Negi,21083
75,82,78,82,75,82,75,78,Ayushi Chandana,21084
70,69,64,69,70,69,70,64,Ayushi Rawat,21085
68,80,78,80,68,80,68,78,Ayushi Rautela,21086
48,40,38,40,48,40,48,38,Ayushi Verma,21087
40,48,47,48,40,48,40,47,Ayush Pandey,21088
82,80,78,80,82,80,82,78,Ayush Verma,21089
61,81,73,81,61,81,61,73,Akshansh Arora,21090
61,64,62,64,61,64,61,62,Saksham Bisht,21091
57,70,72,70,57,70,57,72,Mahima Rawat,21092
53,50,43,50,53,50,53,43,Isha Rawat,21093
55,66,71,66,55,66,55,71,Aarav Jain,21094
72,66,61,66,72,66,72,61,Kabir Wadhwa,21095
72,56,56,56,72,56,72,56,Ayaan Malhotra,21096
